user_id,file,start_idx,end_idx,dur_ms,n_points,path_len,straight_len,straightness,mean_speed,p95_speed,max_speed,mean_acc,p95_acc,max_acc,mean_jerk,p95_jerk,max_jerk,dx,dy,abs_dx,abs_dy,bbox_w,bbox_h,bbox_area,direction_changes,pause_ratio_20ms
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,0,200,60.9519999027,200.0,7875.34984547722,645.8704828562767,0.08201165605705725,3742.932741513787,16200.004767066863,23684.010188740976,4050.8666625819837,1207944.6208033997,2145476.2385209706,3185978.0789895216,160600216.90190813,406798747.90429634,60.825,-643.0,60.825,643.0,60.825,1041.0,63318.825000000004,94.0,0.0
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,100,300,229.2669999604,200.0,8483.874771544068,665.7266898848205,0.07846965069755009,4083.948576138091,19190.01149377525,34758.001823348095,-7856.323369506806,1320000.4007598138,2983800.5661130184,2013181.422002874,216115181.35574102,444239017.7320748,229.275,-625.0,229.275,625.0,229.275,964.0,221021.1,94.0,0.005025125628140704
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,200,400,216.36299991570002,200.0,6014.946407302918,1083.817916039867,0.18018746014494375,2607.8348950111636,13190.004639294433,29800.011620179703,9731.610673000714,858036.361774387,2983800.5661130184,1856478.0886310744,179401289.66103506,445690779.5242417,216.37300000000002,1062.0,216.37300000000002,1062.0,216.37300000000002,1588.0,343600.324,101.0,0.005025125628140704
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,300,500,70.505999804,200.0,7186.13413477498,127.31041647877834,0.017716120252014307,3314.918813395767,17760.002568605392,38804.00115436232,16376.09779401988,1305935.8347019022,2869899.827648513,2158684.814597264,178801230.67342883,430330299.05733913,70.51199999999997,-106.0,70.51199999999997,106.0,70.51199999999997,1539.0,108517.96799999995,90.0,0.0
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,400,600,62.70200014100004,200.0,8522.099778479023,371.3287399650073,0.04357244688717784,4153.62110179956,21710.01023583125,44008.00184041808,-3962.7620601663143,1702000.0982816424,2869899.827648513,-453157.4774438565,201754293.23969662,427279665.81443524,62.682000000000016,366.0,62.682000000000016,366.0,62.682000000000016,1394.0,87378.70800000003,83.0,0.0
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,500,700,46.473000049999996,200.0,6486.202133055827,838.2719355441884,0.12923925563036,2985.5890549175647,15160.014912878121,29406.007059296913,7704.780978182046,799000.82852588,2645799.0592333423,419179.36509992596,170600307.89566523,305298139.9673859,46.161,837.0,46.161,837.0,46.161,1331.0,61440.291000000005,100.0,0.0
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,600,800,46.32299995400001,200.0,6276.955113786053,1199.899684494083,0.19115951328993064,2935.515200363726,13880.042618134732,21086.009732528284,-17223.280471972463,762001.1671382813,2039641.536035536,3031607.8834658554,135811351.50077897,323900154.1362678,46.456999999999994,-1199.0,46.456999999999994,1199.0,46.456999999999994,1341.0,62298.83699999999,112.0,0.0
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,700,900,43.545000077,200.0,7883.489922686642,238.99943849306425,0.030316451322565375,3852.3064771170566,16250.004695995654,35230.00122820117,-1446.3747389603493,1248998.4142087486,2564599.515748053,1480371.1840325927,153996653.60406992,346879982.49074346,43.54000000000002,-235.0,43.54000000000002,235.0,43.54000000000002,1341.0,58387.14000000003,94.0,0.0
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,800,1000,58.21499991400003,200.0,5527.832275583905,937.8088568365091,0.1696521909643954,2641.7649420324665,13700.003163393794,20114.003095763095,11601.31891210417,866545.7617546808,1612924.7274392706,305561.18867595476,130069878.89982839,167441434.39678833,58.218999999999994,936.0,58.218999999999994,936.0,58.218999999999994,1001.0,58277.219,81.0,0.0
user12,Data/Balabit_dataset_refined(Scroll)/training_files/user12/session_2144641057.csv,900,1100,64.504999876,200.0,4351.8005445408935,76.87029285751422,0.017664020230417955,2130.5329064515954,9050.026263225009,15698.00378980825,2634.411143429489,776959.5704310479,1302104.6389409222,-252390.5358131608,93998212.1877566,143560931.9881267,64.382,-42.0,64.382,42.0,64.382,415.0,26718.530000000002,87.0,0.0
