user_id,session_id,window_id,dwell_mean,dwell_std,dwell_p10,dwell_p50,dwell_p90,dd_mean,dd_std,dd_p10,dd_p50,dd_p90,ud_mean,ud_std,ud_p10,ud_p50,ud_p90,backspace_rate,burst_mean,idle_frac,split
s002,5,10,0.0871999999999999,0.0160701869650265,0.0657,0.085,0.1072,0.1861999999999999,0.1062477199755364,0.05284,0.1745,0.3419199999999999,0.09654,0.1069698200428513,-0.0160099999999999,0.0858,0.26403,0.0,11.0,0.0,train
s002,6,31,0.0860818181818181,0.0150434412275563,0.0697,0.0855,0.1051,0.19315,0.1115707779842015,0.0823499999999999,0.14765,0.3678599999999999,0.10543,0.1122759640350507,-0.0002999999999999,0.0602,0.2693399999999999,0.0,11.0,0.0,train
s002,1,34,0.0914272727272727,0.0258202912070435,0.0718,0.0789,0.1209,0.3686399999999999,0.2285577134992385,0.13607,0.3167999999999999,0.6665999999999999,0.2734799999999999,0.2375877808305805,0.05437,0.1958,0.5930699999999999,0.0,11.0,0.0,train
s002,5,11,0.0791,0.0128913642694352,0.0655,0.0784,0.0929,0.17188,0.0935759135675415,0.0935,0.15625,0.29045,0.0914199999999999,0.0946822982399561,0.01447,0.07165,0.2117599999999999,0.0,11.0,0.0,train
s002,2,44,0.0869454545454545,0.0152754921739702,0.0744,0.0803,0.113,0.2046599999999999,0.1167651249303489,0.11358,0.158,0.38686,0.11739,0.1198054043021432,0.03293,0.0577,0.30585,0.0,11.0,0.0,train
s002,2,35,0.0923,0.0133346438749869,0.075,0.0929,0.1099,0.24161,0.1848001701839043,0.13731,0.14665,0.4324799999999998,0.1493699999999999,0.1874914507384269,0.02708,0.0613999999999999,0.3567799999999999,0.0,11.0,0.0,train
s002,7,30,0.0992090909090909,0.0191584993977491,0.0742,0.1024,0.121,0.22762,0.1442920773985876,0.10931,0.1596,0.4203399999999999,0.1283899999999999,0.1506227834691684,-0.00694,0.0623,0.3207599999999999,0.0,11.0,0.0,train
s002,2,45,0.085990909090909,0.0148057393383569,0.0686,0.0842,0.1066,0.22979,0.1158371654521984,0.132,0.18605,0.44099,0.14286,0.1181300740709155,0.0532,0.10035,0.3626999999999999,0.0,11.0,0.0,train
s002,6,17,0.0790545454545454,0.0105149558972285,0.0676,0.0781,0.0938,0.17177,0.0851806791473277,0.0876,0.1517,0.29711,0.09194,0.0849557673145266,0.00082,0.07475,0.2208399999999999,0.0,11.0,0.0,train
s002,3,27,0.0864181818181818,0.0119350376608933,0.0763,0.0813,0.0977,0.20647,0.1172387568170185,0.10969,0.15945,0.37728,0.11951,0.1184807110883455,0.02738,0.0713999999999999,0.2816099999999999,0.0,11.0,0.0,train
s002,1,10,0.1022181818181818,0.0223786756526596,0.0766,0.1093,0.1207,0.3165199999999999,0.2416652262945581,0.12331,0.2044,0.76015,0.2127399999999999,0.2515152528177963,0.03974,0.09,0.67872,0.0,11.0,0.0,train
s002,8,12,0.1137,0.0179905530765454,0.094,0.1088,0.1417,0.2138099999999999,0.1113438947585362,0.12401,0.1929,0.2874099999999999,0.0981399999999999,0.1167612110248947,0.0203199999999999,0.05755,0.1810099999999999,0.0,11.0,0.0,train
s002,2,7,0.0820545454545454,0.0094585568413295,0.0715,0.0816,0.0898,0.25131,0.170604568813382,0.08148,0.18415,0.4558599999999999,0.16868,0.1734165609161939,0.00687,0.09075,0.3678899999999999,0.0,11.0,0.0,train
s002,2,23,0.0895090909090909,0.0126908309453181,0.0713,0.0913,0.1056,0.26524,0.1857417680544685,0.14187,0.2017,0.4311899999999999,0.1751999999999999,0.1905622890290731,0.04927,0.1125,0.3496799999999999,0.0,11.0,0.0,train
s002,3,33,0.0858272727272727,0.0122000067741479,0.0742,0.0826,0.1051,0.23973,0.1378995362573783,0.13446,0.2002999999999999,0.3887599999999999,0.15274,0.1385111706686504,0.05279,0.1096,0.3054399999999999,0.0,11.0,0.0,train
s002,1,43,0.1017363636363636,0.018346625784758,0.0834,0.1003,0.1154,0.26962,0.1523189994715038,0.13426,0.21765,0.4705899999999999,0.1681899999999999,0.1539924313075159,0.05552,0.08695,0.3842099999999999,0.0,11.0,0.0,train
s002,6,29,0.0810909090909091,0.0129178139542018,0.07,0.0789,0.099,0.16862,0.0930970976991227,0.08213,0.14405,0.333,0.08708,0.0961287657259782,0.01069,0.0556,0.25095,0.0,11.0,0.0,train
