claimed_user,user_id,session_id,window_id,trust,residual,score,label,best_tau
s002,s002,5,13,0.9841211136084649,0.4415135085582733,-0.4415135085582733,1,0.7517373830080031
s002,s002,6,46,0.996948205988336,0.31655892729759216,-0.31655892729759216,1,0.7517373830080031
s002,s002,8,15,0.9702059152451251,0.4898923337459564,-0.4898923337459564,1,0.7517373830080031
s002,s002,6,2,0.9427171792933124,0.5411933660507202,-0.5411933660507202,1,0.7517373830080031
s002,s002,8,41,0.00668770122736784,1.12766432762146,-1.12766432762146,1,0.7517373830080031
s002,s002,8,16,0.0010682263721083186,1.265977382659912,-1.265977382659912,1,0.7517373830080031
s002,s002,7,4,0.9979538144586715,0.28643226623535156,-0.28643226623535156,1,0.7517373830080031
s002,s002,6,20,0.9479173319987533,0.5336256623268127,-0.5336256623268127,1,0.7517373830080031
s002,s002,5,2,0.9153017326501026,0.5728119611740112,-0.5728119611740112,1,0.7517373830080031
s002,s002,4,12,0.9998492548401406,0.09022584557533264,-0.09022584557533264,1,0.7517373830080031
s002,s002,1,44,5.04773236909678e-14,3.0533506870269775,-3.0533506870269775,1,0.7517373830080031
s002,s002,5,18,0.9997141332332173,0.13834232091903687,-0.13834232091903687,1,0.7517373830080031
s002,s002,4,41,0.9928605726491223,0.3807581663131714,-0.3807581663131714,1,0.7517373830080031
s002,s002,7,10,0.9982228814743555,0.2758136987686157,-0.2758136987686157,1,0.7517373830080031
s002,s002,6,10,0.8756744202850892,0.6049914360046387,-0.6049914360046387,1,0.7517373830080031
s002,s002,3,6,0.9996524264866085,0.15303969383239746,-0.15303969383239746,1,0.7517373830080031
s002,s002,2,4,0.9750056786433483,0.4763162434101105,-0.4763162434101105,1,0.7517373830080031
s002,s002,1,2,1.0904821154678223e-13,2.9954469203948975,-2.9954469203948975,1,0.7517373830080031
s002,s002,1,50,1.1404345916542656e-08,2.126610279083252,-2.126610279083252,1,0.7517373830080031
s002,s002,2,31,0.9997418998506092,0.13065911829471588,-0.13065911829471588,1,0.7517373830080031
s002,s002,5,6,0.9690863148451856,0.49275222420692444,-0.49275222420692444,1,0.7517373830080031
s002,s002,1,35,0.9935526594005148,0.37304070591926575,-0.37304070591926575,1,0.7517373830080031
s002,s002,6,14,0.996052035782935,0.335981547832489,-0.335981547832489,1,0.7517373830080031
s002,s002,2,42,0.9996353410412129,0.15664829313755035,-0.15664829313755035,1,0.7517373830080031
