trust_score,label,user_id
0.46208373691888016,1,s002
5.756201692408425e-05,0,s002
0.46227059367060686,1,s002
0.9640829222706166,1,s002
0.7617623209328543,1,s002
0.9052058715833806,1,s002
0.4624282248181357,1,s002
0.7616499662965492,1,s002
0.46199570261984757,1,s002
0.4621022387855831,1,s002
0.4626838211250075,1,s002
0.46272720763207476,1,s002
0.46227226646434705,1,s002
0.9052236144094088,0,s002
0.7616247174959843,1,s002
0.46199921927501286,1,s002
0.462140265112976,1,s002
0.4623151199643567,1,s002
0.4620223049254846,1,s002
0.761708543678407,0,s002
0.7619712282369153,0,s002
0.46212234520244055,1,s002
0.4628617264022745,1,s002
0.4620513145383971,1,s002
0.0008832642347218478,0,s002
0.7617594375254724,0,s002
0.4619468956927326,0,s002
0.46217572360324466,0,s002
0.761657897192737,1,s002
0.4621507304482271,0,s002
0.7615697200475224,0,s002
0.4620038787666405,1,s002
0.4619902865397234,1,s002
0.7613235971623722,1,s002
0.46220857481605604,0,s002
0.4624292772601468,0,s002
0.46210055422492524,0,s002
0.46198857247295533,1,s002
0.462156374062926,0,s002
0.46259704756989906,1,s002
0.4620681897250918,1,s002
0.7616679978432885,1,s002
0.7616662491871895,0,s002
0.4617423441326207,0,s002
0.4618762639934888,0,s002
0.4619512790289835,1,s002
0.7618979131819339,1,s002
0.46256593289803716,0,s002
0.46211988232402756,1,s002
0.46204022577957815,1,s002
0.0002649723876810839,1,s002
0.46220810419976743,1,s002
0.0004892465273704794,0,s002
0.4620762397820448,1,s002
0.4630246139060066,1,s002
0.7617715661734015,1,s002
0.46174959613272337,0,s002
0.462175811917664,1,s002
0.46207161616235726,1,s002
0.46174989261298083,0,s002
0.462381617891404,0,s002
0.46241039078461643,0,s002
0.7614684358514585,1,s002
0.7613139089405323,1,s002
0.4619741832189854,1,s002
0.4621710754249784,1,s002
0.46213280702784965,1,s002
0.7615441791130073,1,s002
0.4623681746395334,0,s002
0.4624312879539034,0,s002
0.4620749916427389,1,s002
0.4625559711915661,1,s002
0.46231134740991164,1,s002
0.46197051196254235,1,s002
0.4624295350835623,1,s002
0.46251875434184697,0,s002
0.7616961673579863,1,s002
0.4622432016332829,1,s002
0.4622263122479875,1,s002
0.4625981881086352,1,s002
0.46171590962851794,0,s002
0.7616114796381179,1,s002
0.4624308518427618,1,s002
0.4621472017400423,1,s002
0.7619516941296427,1,s002
0.4620430552673518,0,s002
0.46203010271095657,1,s002
0.46205966864885584,0,s002
0.46238028697664424,1,s002
0.4629916892663577,1,s002
0.4623252158732625,1,s002
0.46249844102673987,1,s002
0.4625999352860488,1,s002
0.4626055546722887,1,s002
0.46218229338293026,1,s002
0.4620487411519343,1,s002
0.4623187397213939,1,s002
0.4621287505377265,1,s002
0.46228203639457743,0,s002
